,id,age,gender_female,gender_male,race_asian,race_black,race_mexican_american,race_other,race_other_hispanic,race_white
4397,113660.0,57.0,1,0,1,0,0,0,0,0
4398,113661.0,24.0,1,0,0,0,0,0,0,1
4399,113662.0,10.0,1,0,1,0,0,0,0,0
4400,113663.0,55.0,0,1,1,0,0,0,0,0
4401,113664.0,80.0,0,1,0,1,0,0,0,0
4402,113665.0,2.0,1,0,0,1,0,0,0,0
4403,113666.0,34.0,0,1,0,0,0,0,0,1
4404,113667.0,50.0,0,1,0,1,0,0,0,0
4405,113668.0,75.0,0,1,0,1,0,0,0,0
4406,113669.0,63.0,0,1,0,0,1,0,0,0
4407,113670.0,16.0,1,0,0,0,0,0,0,1
4408,113671.0,2.0,0,1,0,1,0,0,0,0
4409,113672.0,54.0,1,0,0,0,1,0,0,0
4410,113673.0,18.0,1,0,0,0,0,0,1,0
4411,113674.0,80.0,0,1,0,0,0,0,0,1
4412,113675.0,4.0,0,1,0,1,0,0,0,0
4413,113676.0,34.0,1,0,0,0,0,0,1,0
4414,113677.0,33.0,1,0,0,0,0,0,0,1
4415,113678.0,47.0,1,0,0,1,0,0,0,0
4416,113679.0,16.0,0,1,1,0,0,0,0,0
4417,113680.0,36.0,1,0,0,0,0,0,0,1
4418,113681.0,62.0,0,1,0,1,0,0,0,0
4419,113682.0,58.0,0,1,0,0,1,0,0,0
4420,113683.0,25.0,0,1,0,1,0,0,0,0
4421,113684.0,71.0,0,1,0,0,0,0,0,1
4422,113685.0,4.0,1,0,0,1,0,0,0,0
4423,113686.0,17.0,1,0,0,0,1,0,0,0
4424,113687.0,45.0,1,0,0,1,0,0,0,0
4425,113688.0,10.0,1,0,0,1,0,0,0,0
4426,113689.0,11.0,0,1,0,0,0,0,0,1
4427,113690.0,24.0,1,0,1,0,0,0,0,0
4428,113691.0,63.0,1,0,0,0,0,0,0,1
4429,113692.0,23.0,1,0,1,0,0,0,0,0
4430,113693.0,5.397605346934028e-79,1,0,0,1,0,0,0,0
4431,113694.0,5.397605346934028e-79,0,1,0,0,1,0,0,0
4432,113695.0,25.0,0,1,0,0,0,0,0,1
4433,113696.0,39.0,0,1,0,0,0,0,0,1
4434,113697.0,5.397605346934028e-79,0,1,0,1,0,0,0,0
4435,113698.0,13.0,0,1,0,0,0,0,0,1
4436,113699.0,61.0,1,0,0,0,0,0,1,0
4437,113700.0,14.0,0,1,0,0,0,0,0,1
4438,113701.0,27.0,0,1,0,0,1,0,0,0
4439,113702.0,57.0,0,1,1,0,0,0,0,0
4440,113703.0,23.0,1,0,1,0,0,0,0,0
4441,113704.0,43.0,0,1,0,0,0,0,0,1
4442,113705.0,18.0,1,0,0,1,0,0,0,0
4443,113706.0,48.0,0,1,0,1,0,0,0,0
